"","V1","V2","V3","lat","lon"
"11976","CSRA","Policy Analyst/ Writer - Arlington, VA","Arlington, VA",37.283482,-77.294978
"11977","BAE Systems","ITSM Metrics Analyst","Dulles, VA",39.002125,-77.442066
"11978","Missing Link Security","Incident Response Analyst","Arlington, VA",37.283482,-77.294978
"11979","Armed Forces Services Corporation","Disability Evaluation Analyst","Arlington, VA",37.283482,-77.294978
"11980","Sotera Defense Solutions, Inc.","Database Administrator","Herndon, VA ",38.983887,-77.367457
"11981","Integrated Data Services","Business Analyst","Arlington, VA",37.283482,-77.294978
"11982","Tanager, Inc.","Incident Response Analyst V","Arlington, VA",37.283482,-77.294978
"11983","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"11984","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"11985","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"11986","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"11987","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"11988","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"11989","Goldbelt, Inc.","DATA ENTRY OPERATOR II","Newport News, VA",37.058296,-76.463471
"11990","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"11991","McGuireWoods LLP","Technical Operations Center Analyst","Richmond, VA",37.626617,-77.492834
"11992","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"11993","Booz Allen Hamilton","Video / Voice / Data Business Lead","Herndon, VA",38.983887,-77.367457
"11994","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"11995","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
"11996","Dept of Behavioral Health & Developmental Sv","Center of Excellence Program Coordinator","Richmond, VA",37.626617,-77.492834
"11997","General Dynamics - Information Technology","Network Analyst/Systems Administrator II - TS/SCI - Ft. Belv...","Fort Belvoir, VA",38.714562,-77.167886
"11998","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"11999","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"12000","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"12001","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"12002","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"12003","Network Design Technologies, Inc","Voice and Data Structured Cabling Field Technician - Part Ti...","Richmond, VA",37.626617,-77.492834
"12004","HP ( NGEN)","IT Specialist/ HelpDesk Support","Norfolk, VA",36.895911,-76.208521
"12005","George Mason University","Research Assistant Professor/Research Associate Professor, N...","Fairfax, VA",38.83469,-77.27622
"12006","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"12007","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"12008","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"12009","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"12010","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
"12011","RadiantBlue Technologies, Inc.","Systems Analyst I","Chantilly, VA",38.88668,-77.44566
"12012","Dept of Behavioral Health & Developmental Sv","Center of Excellence Program Coordinator","Richmond, VA",37.626617,-77.492834
"12013","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"12014","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"12015","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"12016","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"12017","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"12018","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"12019","Goldbelt, Inc.","DATA ENTRY OPERATOR II","Newport News, VA",37.058296,-76.463471
"12020","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"12021","McGuireWoods LLP","Technical Operations Center Analyst","Richmond, VA",37.626617,-77.492834
